"DRD370SQ.Code.or.Value","DRD370SQ.Value.Description","DRD370SQ.Count","DRD370SQ.Cumulative","DRD370SQ.Skip.to.Item"
"1 to 5","Range of Values",61,61,NA
".","Missing",8643,8704,NA
