"TYXA117.Code.or.Value","TYXA117.Value.Description","TYXA117.Count","TYXA117.Cumulative","TYXA117.Skip.to.Item"
"0.09 to 8.89","Range of Values",8385,8385,NA
".","Missing",84,8469,NA
