"DSD122Q.Code.or.Value","DSD122Q.Value.Description","DSD122Q.Count","DSD122Q.Cumulative","DSD122Q.Skip.to.Item"
"0.0312 to 72","Range of Values",8157,8157,NA
"777777","Refused",0,8157,NA
"999999","Don't know",1,8158,NA
".","Missing",111,8269,NA
