"LBXD02.Code.or.Value","LBXD02.Value.Description","LBXD02.Count","LBXD02.Cumulative","LBXD02.Skip.to.Item"
"8.06 to 253.3","Range of Values",1861,1861,NA
".","Missing",424,2285,NA
