"DBQ301.Code.or.Value","DBQ301.Value.Description","DBQ301.Count","DBQ301.Cumulative","DBQ301.Skip.to.Item"
"1","Yes",56,56,NA
"2","No",2016,2072,NA
"7","Refused",0,2072,NA
"9","Don't know",0,2072,NA
".","Missing",8465,10537,NA
