"RIDAGEEX.Code.or.Value","RIDAGEEX.Value.Description","RIDAGEEX.Count","RIDAGEEX.Cumulative","RIDAGEEX.Skip.to.Item"
"0 to 959","Range of Values",9367,9367,NA
".","Missing",782,10149,NA
