"WHD140.Code.or.Value","WHD140.Value.Description","WHD140.Count","WHD140.Cumulative","WHD140.Skip.to.Item"
"90 to 551","Range of Values",6071,6071,NA
"7777","Refused",4,6075,NA
"9999","Don't know",88,6163,NA
".","Missing",383,6546,NA
