"AUXTPVR.Code.or.Value","AUXTPVR.Value.Description","AUXTPVR.Count","AUXTPVR.Cumulative","AUXTPVR.Skip.to.Item"
"0.3 to 6","Range of Values",1771,1771,NA
"777","Refused",0,1771,NA
"888","Could not obtain",10,1781,NA
".","Missing",108,1889,NA
