"OSD030ba.Code.or.Value","OSD030ba.Value.Description","OSD030ba.Count","OSD030ba.Cumulative","OSD030ba.Skip.to.Item"
"1 to 78","Range of Values",302,302,NA
"80","80 or older",10,312,NA
"77777","Refused",0,312,NA
"99999","Don't know",4,316,NA
".","Missing",3499,3815,NA
