"VTQ240B.Code.or.Value","VTQ240B.Value.Description","VTQ240B.Count","VTQ240B.Cumulative","VTQ240B.Skip.to.Item"
"1 to 99","Range of Values",1188,1188,NA
"777","Refused",0,1188,NA
"999","Don't know",0,1188,NA
".","Missing",2557,3745,NA
