"DR2_320Z.Code.or.Value","DR2_320Z.Value.Description","DR2_320Z.Count","DR2_320Z.Cumulative","DR2_320Z.Skip.to.Item"
"0 to 10665","Range of Values",7605,7605,NA
".","Missing",1733,9338,NA
