"AUXRR138.Code.or.Value","AUXRR138.Value.Description","AUXRR138.Count","AUXRR138.Cumulative","AUXRR138.Skip.to.Item"
"-45 to 48","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
