"LB2BECSI.Code.or.Value","LB2BECSI.Value.Description","LB2BECSI.Count","LB2BECSI.Cumulative","LB2BECSI.Skip.to.Item"
"0.011 to 2.081","Range of Values",545,545,NA
".","Missing",6,551,NA
