"WTSBA04.Code.or.Value","WTSBA04.Value.Description","WTSBA04.Count","WTSBA04.Cumulative","WTSBA04.Skip.to.Item"
"0 to 352643.61016","Range of Values",946,946,NA
".","Missing",65,1011,NA
