"DSQTSELE.Code.or.Value","DSQTSELE.Value.Description","DSQTSELE.Count","DSQTSELE.Cumulative","DSQTSELE.Skip.to.Item"
"0.5 to 438","Range of Values",1235,1235,NA
".","Missing",8736,9971,NA
