"MCQ114.Code.or.Value","MCQ114.Value.Description","MCQ114.Count","MCQ114.Cumulative","MCQ114.Skip.to.Item"
"1","Yes",344,344,""
"2","No",677,1021,"MCQ120A"
"7","Refused",0,1021,"MCQ120A"
"9","Don't know",63,1084,"MCQ120A"
".","Missing",8409,9493,""
