"DSQILYCO.Code.or.Value","DSQILYCO.Value.Description","DSQILYCO.Count","DSQILYCO.Cumulative","DSQILYCO.Skip.to.Item"
"51 to 30000","Range of Values",1116,1116,NA
".","Missing",7169,8285,NA
