"WBXP012.Code.or.Value","WBXP012.Value.Description","WBXP012.Count","WBXP012.Cumulative","WBXP012.Skip.to.Item"
"-30.5985 to 150.2292","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
