"DS1IVK.Code.or.Value","DS1IVK.Value.Description","DS1IVK.Count","DS1IVK.Cumulative","DS1IVK.Skip.to.Item"
"1 to 5000","Range of Values",1059,1059,NA
".","Missing",4664,5723,NA
