"WTSPO02.Code.or.Value","WTSPO02.Value.Description","WTSPO02.Count","WTSPO02.Cumulative","WTSPO02.Skip.to.Item"
"0.0000000 to 844779.8699700","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
