"DR1ITFAT.Code.or.Value","DR1ITFAT.Value.Description","DR1ITFAT.Count","DR1ITFAT.Cumulative","DR1ITFAT.Skip.to.Item"
"0 to 235.57","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
