"DRQ350CQ.Code.or.Value","DRQ350CQ.Value.Description","DRQ350CQ.Count","DRQ350CQ.Cumulative","DRQ350CQ.Skip.to.Item"
"1 to 20","Range of Values",69,69,NA
".","Missing",9213,9282,NA
