"AUDTYL11.Code.or.Value","AUDTYL11.Value.Description","AUDTYL11.Count","AUDTYL11.Cumulative","AUDTYL11.Skip.to.Item"
"0 to 2.53","Range of Values",2756,2756,NA
".","Missing",278,3034,NA
