"RFXT131.Code.or.Value","RFXT131.Value.Description","RFXT131.Count","RFXT131.Cumulative","RFXT131.Skip.to.Item"
"1141 to 1150","Range of Values",51056,51056,NA
".","Missing",20,51076,NA
