"PFQ061S.Code.or.Value","PFQ061S.Value.Description","PFQ061S.Count","PFQ061S.Cumulative","PFQ061S.Skip.to.Item"
"1","No difficulty",2335,2335,NA
"2","Some difficulty",208,2543,NA
"3","Much difficulty",34,2577,NA
"4","Unable to do",8,2585,NA
"5","Do not do this activity",9,2594,NA
"7","Refused",1,2595,NA
"9","Don't know",0,2595,NA
".","Missing",6635,9230,NA
