"DSD103.Code.or.Value","DSD103.Value.Description","DSD103.Count","DSD103.Cumulative","DSD103.Skip.to.Item"
"0 to 30","Range of Values",7577,7577,NA
"7777","Refused",0,7577,NA
"9999","Don't know",6,7583,NA
".","Missing",1490,9073,NA
