"DR2IFA.Code.or.Value","DR2IFA.Value.Description","DR2IFA.Count","DR2IFA.Cumulative","DR2IFA.Skip.to.Item"
"0 to 2768","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
