"RFXC159.Code.or.Value","RFXC159.Value.Description","RFXC159.Count","RFXC159.Cumulative","RFXC159.Skip.to.Item"
"-5.926 to 6.066","Range of Values",33668,33668,NA
".","Missing",53,33721,NA
