"DR2TM181.Code.or.Value","DR2TM181.Value.Description","DR2TM181.Count","DR2TM181.Cumulative","DR2TM181.Skip.to.Item"
"0 to 144.083","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
