"LBDRSTSI.Code.or.Value","LBDRSTSI.Value.Description","LBDRSTSI.Count","LBDRSTSI.Cumulative","LBDRSTSI.Skip.to.Item"
"0.012 to 0.524","Range of Values",4360,4360,NA
".","Missing",4472,8832,NA
