"OSQ030ab.Code.or.Value","OSQ030ab.Value.Description","OSQ030ab.Count","OSQ030ab.Cumulative","OSQ030ab.Skip.to.Item"
"26 to 87","Range of Values",12,12,NA
"77777","Refused",0,12,NA
"99999","Don't know",0,12,NA
".","Missing",5399,5411,NA
