"DRD370GQ.Code.or.Value","DRD370GQ.Value.Description","DRD370GQ.Count","DRD370GQ.Cumulative","DRD370GQ.Skip.to.Item"
"1 to 8","Range of Values",119,119,NA
".","Missing",9219,9338,NA
