"FSD061.Code.or.Value","FSD061.Value.Description","FSD061.Count","FSD061.Cumulative","FSD061.Skip.to.Item"
"1","Yes",1223,1223,NA
"2","No",2178,3401,NA
"7","Refused",0,3401,NA
"9","Don't know",2,3403,NA
".","Missing",5851,9254,NA
