"LBXZEA.Code.or.Value","LBXZEA.Value.Description","LBXZEA.Count","LBXZEA.Cumulative","LBXZEA.Skip.to.Item"
"0.29 to 25.05","Range of Values",7266,7266,NA
"0.14","Fill Value of Limit of Detection",2,7268,NA
".","Missing",714,7982,NA
