"RFXT014.Code.or.Value","RFXT014.Value.Description","RFXT014.Count","RFXT014.Cumulative","RFXT014.Skip.to.Item"
"106 to 115","Range of Values",51073,51073,NA
".","Missing",3,51076,NA
