"DR1IIRON.Code.or.Value","DR1IIRON.Value.Description","DR1IIRON.Count","DR1IIRON.Cumulative","DR1IIRON.Skip.to.Item"
"0 to 61.53","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
