"LBDHXCLC.Code.or.Value","LBDHXCLC.Value.Description","LBDHXCLC.Count","LBDHXCLC.Cumulative","LBDHXCLC.Skip.to.Item"
"0","detectable result",1077,1077,NA
"1","below detectable limit",789,1866,NA
".","Missing",419,2285,NA
