"LBCBB1.Code.or.Value","LBCBB1.Value.Description","LBCBB1.Count","LBCBB1.Cumulative","LBCBB1.Skip.to.Item"
"1.414 to 375.1","Range of Values",300,300,NA
".","Missing",1,301,NA
