"DS2TSELE.Code.or.Value","DS2TSELE.Value.Description","DS2TSELE.Count","DS2TSELE.Cumulative","DS2TSELE.Skip.to.Item"
"1 to 800","Range of Values",1150,1150,NA
".","Missing",8612,9762,NA
