"MPQ120G.Code.or.Value","MPQ120G.Value.Description","MPQ120G.Count","MPQ120G.Cumulative","MPQ120G.Skip.to.Item"
"16","Mid-arm - right",86,86,NA
".","Missing",4955,5041,NA
