"TYXP026.Code.or.Value","TYXP026.Value.Description","TYXP026.Count","TYXP026.Cumulative","TYXP026.Skip.to.Item"
"-1 to 196","Range of Values",8469,8469,NA
".","Missing",0,8469,NA
