"RHQ602Q.Code.or.Value","RHQ602Q.Value.Description","RHQ602Q.Count","RHQ602Q.Cumulative","RHQ602Q.Skip.to.Item"
"1 to 15","Range of Values",12,12,NA
"77","Refused",0,12,NA
"99","Don't know",0,12,NA
".","Missing",3606,3618,NA
