"BPXDI2.Code.or.Value","BPXDI2.Value.Description","BPXDI2.Count","BPXDI2.Cumulative","BPXDI2.Skip.to.Item"
"0 to 116","Range of Values",5762,5762,NA
".","Missing",3881,9643,NA
