"BAXFTC22.Code.or.Value","BAXFTC22.Value.Description","BAXFTC22.Count","BAXFTC22.Cumulative","BAXFTC22.Skip.to.Item"
"0 to 13","Range of Values",71,71,NA
".","Missing",3113,3184,NA
