"DR1IKCAL.Code.or.Value","DR1IKCAL.Value.Description","DR1IKCAL.Count","DR1IKCAL.Cumulative","DR1IKCAL.Skip.to.Item"
"0 to 5559","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
