"CFDRIGHT.Code.or.Value","CFDRIGHT.Value.Description","CFDRIGHT.Count","CFDRIGHT.Cumulative","CFDRIGHT.Skip.to.Item"
"0 to 100","Range of Values",1558,1558,NA
".","Missing",314,1872,NA
