"CIQDPO.Code.or.Value","CIQDPO.Value.Description","CIQDPO.Count","CIQDPO.Cumulative","CIQDPO.Skip.to.Item"
"1","Yes",2,2,NA
"2","No",1,3,NA
"7","Refuse",0,3,NA
"9","Don't know",0,3,NA
".","Missing",847,850,NA
