"DRQSDIET.Code.or.Value","DRQSDIET.Value.Description","DRQSDIET.Count","DRQSDIET.Cumulative","DRQSDIET.Skip.to.Item"
"1","Yes",974,974,""
"2","No",8524,9498,"DR1TNUMF"
"9","Don't know",35,9533,"DR1TNUMF"
".","Missing",417,9950,""
