"CIQPPE.Code.or.Value","CIQPPE.Value.Description","CIQPPE.Count","CIQPPE.Cumulative","CIQPPE.Skip.to.Item"
"1","Yes",0,0,""
"2","No",3,3,"CIDPPRB"
"7","Refused",0,3,"CIDPPRB"
"9","Don't know",0,3,"CIDPPRB"
".","Missing",925,928,""
