"MCQ245B.Code.or.Value","MCQ245B.Value.Description","MCQ245B.Count","MCQ245B.Cumulative","MCQ245B.Skip.to.Item"
"0 to 365","Range of Values",4004,4004,NA
"77777","Refused",0,4004,NA
"99999","Don't know",2,4006,NA
".","Missing",6464,10470,NA
