"VIDROVA.Code.or.Value","VIDROVA.Value.Description","VIDROVA.Count","VIDROVA.Cumulative","VIDROVA.Skip.to.Item"
"25","20/25",1356,1356,NA
"30","20/30",122,1478,NA
"40","20/40",120,1598,NA
"50","20/50",221,1819,NA
"60","20/60",15,1834,NA
"80","20/80",28,1862,NA
"200","20/200",42,1904,NA
"666","20/200+",31,1935,NA
".","Missing",5055,6990,NA
