"FSQ500.Code.or.Value","FSQ500.Value.Description","FSQ500.Count","FSQ500.Cumulative","FSQ500.Skip.to.Item"
"1","Yes",25,25,""
"2","No",653,678,"FSD520"
"7","Refused",0,678,"FSD520"
"9","Don't know",2,680,"FSD520"
".","Missing",10359,11039,""
