"DSQINIAC.Code.or.Value","DSQINIAC.Value.Description","DSQINIAC.Count","DSQINIAC.Cumulative","DSQINIAC.Skip.to.Item"
"0.077 to 1500","Range of Values",2057,2057,NA
".","Missing",7502,9559,NA
