"DXXLSBMD.Code.or.Value","DXXLSBMD.Value.Description","DXXLSBMD.Count","DXXLSBMD.Cumulative","DXXLSBMD.Skip.to.Item"
"0.492 to 1.777","Range of Values",3912,3912,NA
".","Missing",1202,5114,NA
