"DR2TP226.Code.or.Value","DR2TP226.Value.Description","DR2TP226.Count","DR2TP226.Cumulative","DR2TP226.Skip.to.Item"
"0 to 5.361","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
