"DR1IM181.Code.or.Value","DR1IM181.Value.Description","DR1IM181.Count","DR1IM181.Cumulative","DR1IM181.Skip.to.Item"
"0 to 78.218","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
