"RFXT103.Code.or.Value","RFXT103.Value.Description","RFXT103.Count","RFXT103.Cumulative","RFXT103.Skip.to.Item"
"893 to 902","Range of Values",51061,51061,NA
".","Missing",15,51076,NA
