"PAD320.Code.or.Value","PAD320.Value.Description","PAD320.Count","PAD320.Cumulative","PAD320.Skip.to.Item"
"1","Yes",3738,3738,NA
"2","No",3801,7539,NA
"3","Unable to do activity",237,7776,NA
"7","Refused",5,7781,NA
"9","Don't know",3,7784,NA
".","Missing",2310,10094,NA
