"OSQ170.Code.or.Value","OSQ170.Value.Description","OSQ170.Count","OSQ170.Cumulative","OSQ170.Skip.to.Item"
"1","Yes",242,242,""
"2","No",4568,4810,"OSQ200"
"7","Refused",0,4810,"OSQ200"
"9","Don't know",169,4979,"OSQ200"
".","Missing",0,4979,""
