"DR1TZINC.Code.or.Value","DR1TZINC.Value.Description","DR1TZINC.Count","DR1TZINC.Cumulative","DR1TZINC.Skip.to.Item"
"0 to 180.41","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
