"DXXAACTV.Code.or.Value","DXXAACTV.Value.Description","DXXAACTV.Count","DXXAACTV.Cumulative","DXXAACTV.Skip.to.Item"
"0","Valid data",3140,3140,NA
"1","Invalid data",190,3330,NA
".","Missing",378,3708,NA
