"DR1TVD.Code.or.Value","DR1TVD.Value.Description","DR1TVD.Count","DR1TVD.Cumulative","DR1TVD.Skip.to.Item"
"0 to 86.3","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
