"LBXSKSI.Code.or.Value","LBXSKSI.Value.Description","LBXSKSI.Count","LBXSKSI.Cumulative","LBXSKSI.Skip.to.Item"
"2.8 to 5.8","Range of Values",6552,6552,NA
".","Missing",427,6979,NA
