"OSD030cd.Code.or.Value","OSD030cd.Value.Description","OSD030cd.Count","OSD030cd.Cumulative","OSD030cd.Skip.to.Item"
"59","59",1,1,NA
"80","80 or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",5934,5935,NA
